ando mm a fic doent com esta shit de temp,neg
crlh velh viv doent,neg
dev ser proib trabalh doent,neg
a academ foi dificil hj em kkkk,pos
a caminh foi long,pos
acho q vou ir malh agr,pos
acord para ir na academ,pos
acord para ir na academ mas manc agor por motiv de muit dor nas pern,pos
agr eu serei fitness,pos
aquela corridinh de lev agor,pos
aquela corridinh matutin sagaz,pos
bor faz caminh,pos
estava precis dess corridinh,pos
hj acord mais ced e to indo corr na pra antes dos meu afaz mt temp que nao vou a pra sdds de dar um tchibum,pos
sint me a fic doent,neg
eu tav de diet mas ai o bol de chocolat me olhou eu olhe p ele foi louc,neg
eu tav de diet seman pass da aaaaaa,neg
comec o projet fitness,pos
cans as fuck e eu nem tive estress hoj,neg
vou corr 2 km tod dia quando acord,pos
e eu marc algum cois eu fic doent pqp viu,neg
a caminh e long,pos
a melhor atlet que eu respeit,pos
quando final arranj vontad de ir corr chov torrencial,pos
acord de bom humor um amorzinh e esper q ngm me estress,neg
adivinh quem pass mal de tant estress a noit inteirinh,neg
adivinh quem tem que cuid da gatinh acident faz trabalh pra hj mas acord doent bom dia,neg
ai nd de bom dia estress ta tom cont ja,neg
aquele dilem entre ir pro curs doent mesmo ou nem tent e lev falt,neg
bom dia de mt son e stress,neg
como pass uma seman sem atac minhas alerg e fic doent pesquis,neg
consig fic muito estress por qualqu bobag,neg
aaaaaa toc muito anitt e pabll na academ hoj confess que quas danc sim,pos
academ vaz meu sonh de princes realiz,pos
adivinh quem acord 520 pra malh isso mesmo gracian barbos pq eu fiqu dorm mesmo,pos
adivinh quem eu vei para a academ,pos
amanh em nom do senhor eu vou na academ,pos
bom dia to me arrum aqu e part dar uma corridinh na av da pra vend o nasc do sol nad melhor,pos
decid faz uma diet daquel na minha vid vou cort tud,pos
hj acord com maior disp corridinh na pra vai rol,pos
ontem deu uma corridinh de lev,pos
se eu mor em cidad que tem pra eu iri corr na pra tod os dias,pos
soub tao bem corr a chuv hj,pos
trabalh termin o trabalh fui corr mais meu amig,pos
vou corr com o meu neneeee,pos
que stress meu deus,neg
sincer vou me retir antes que eu me estress aind mais,neg
sint muito mas eu n vou pra academ com colic,neg
tent estar mais acim do pes q eu e falh miser pois esto com mt mesmo,neg
to doent dem,neg
adeus diet,neg
bait doent ness sext,neg
de nad adiant corr se estamos na estrad errad,neg
deix o potinh do estress esvazi um pouc pra depois consegu funcion direit,neg
academ vem ni mim,pos
aind fiz minha marmit e arrum minha bols da academ,pos
uma corridinh dlev,pos
que raiv man vou dorm e evit o estress,neg
to doent e n sei se eh dor de cabec mal estar ou uma vei do meu cerebr q estour,neg
acord sup doent mas ao men sei que val a pen pass aquele fri tod cm ele,neg
acord tod doent,neg
as dor no corp da primeir seman da academ x a alegr de com bol,neg
assim nao vou consigu emagrec affz nao resist quebr a diet mesmo rs sobremes da madrug hah,neg
belez bem no dia que eu entro de recess eu fic doent,neg
caralh to doent pra porr,neg
decid pass o find quietinh hahahah ngm merec estar doent mas find que vem vai compens,neg
durm pouc doent e acord mais doent aind,neg
acord com vontad de corr,pos
com ovinh coz antes de ir pra academ sim,pos
feliz que vou entrar na academ em agosto,pos
fui corr c o ruben,pos
precis de companh para ir corr hoj,pos
precis ir corr,pos
sim eu carlot a corr,pos
tip atlet corr pela esquin assust o senhor mas impression a min,pos
vontad de corr,pos
vontad de corr e fic pertin dele pra sempr,pos
vou corr agor,pos
to sent q vou fic doent,neg
tod o pes do mund parec estar sobr minhas cost,neg
tenho que volt a malh log to me sent stress em cas,neg
tenho que volt pra academ,neg
22h eu tav preg n dorm ate agr e no moment to com anim pra corr uma maraton,pos
acab de complet meu 1 dia na seman 1 program corr para perd de pes,pos
e aind fui pra academ,pos
eu to perd pes eu to muito feliz com isso,pos
hoj vou no pig corr,pos
00 vai ter q corr hj,pos
ah eu acho que vou corr,pos
ai vou ter que ir no alef depois da academ vontad 0,pos
aquela fom que bat de madrug vc lembr que ta diet e prefer ir dorm bjooo meu pov,pos
vou dorm e quer acord com a fot do showz na academ de futebol,pos
acord na merd sent que ia fic doent,neg
agor q lembr q tav de diet,neg
agor vou ter que faz academ por caus da colun,neg
com batat frit e pens no tant que vou sofr mais tard na academ,neg
detest estar doent fds,neg
7hor vou corr na pra,pos
a minha corr pass a caminh,pos
agor vou para a academ do meu tio kkkkkkkkk,pos
antes de corr aprend a camin,pos
bom diaa boraa corr log ced pra com o dia no focoo,pos
bor estud trabalh malh o temp voa,pos
bor pra corridinh coloc mais 10km pra cont,pos
caminh sempr a pamp com deus e minha banc,pos
consegu acord ced e to indo pra academ,pos
consegu corr,pos
diet mei tort mas ta funcion,pos
em vez de irmos corr fomos andar de biciclet grand volt para desanuvi mesmo,pos
estive a corr trail desd as 6 e fiqu com dor nos joelh,pos
eu a essa hr acord indo corr kkkk,pos
indo corr pra ver se sai um pouc dess bad do caralh,pos
log vou corr a maraton,pos
nad mud corridinh de 10km vir 17km kkkkkk,pos
noss vou corr 0530,pos
precis compr uma daquel tiarinh pret pra segur os cabel porqu pior cois corr na esteir com o cabel caind na car,pos
sdds de corr na bris,pos
hj eu n quer estress acord com amor pra dar e vend,neg
simples morr por dentr por nao podereconsegu corr e faz exercici por caus dess merd de fratur femoral,neg
so pass estress,neg
acord estress,neg
acord estress p crlh vou fic fora das red soc hoj,neg
acord estress sem motiv algum,neg
acord so o stress,neg
ai que stress,neg
ai vei to estress esse negoci da me deix na merd,neg
aiai tdo esse estress adolescent faz mal pra pel do bbsim eu,neg
bom dia c estress ness porr,neg
doent e trist,neg
doq adiant ser sext se eu estou doent,neg
bor corr,pos
bor malh,pos
corr pra desestress vamoa,pos
engord dem seman q vem sem falt eu volt p minha diet e volt a corr,pos
esse car gost de corr,pos
estava com saudad de corr aqu,pos
fui corr,pos
sai corr ness fri,pos
tav com sdds de corr,pos
vou corr,pos
vou corr hast,pos
acho que estou a fic doent,neg
acho que estou a fic doent e estou na rua de mang curt ao fri,neg
acho que estou a fic doent sou uma florzinh pah,neg
acho que estou doent,neg
acord no estress,neg
agradec muito por estar doent ontem e nao ter discut com a milen,neg
aiii que estress,neg
deus ta proteg a sua caminh,neg
acab de volt da caminhadav tom um banh e lav o cabel,pos
ai amanh a tard tenho silm viola e academ quer ver se eu sobrev viu,pos
ai n acredit q vim p academ ato,pos
carol usou truqu suj p eu ir na academ hoj como proced,pos
jur q se n tivesse chov tant eu ia coloc meu ten e esper clar p corr,pos
hj acord estress,neg
to tao doent pqp,neg
sintom doent,neg
tent ser fitness hj e odi,neg
vou faz diet louc mesmo e fodas se eu par no hospital pelo men foi 3kg amen,neg
acho q estou a fic doent fds,neg
acho que tou doent,neg
acho que vou fic doent,neg
acho que vou fic doent,neg
acho que vou fic doent,neg
acho que vou fic doent,neg
bom dia p quem acord doent,neg
bom dia p quem acord doent,neg
bom dia p quem acord mais doent q o normal,neg
bom dia p quem ja acord estress,neg
certez q vou fic doent,neg
crlh como eu odei fic doent,neg
e aind estou com fom p aument o estress,neg
acho que vou corr,pos
acho que vou da uma corridinh na vil daqu apouc,pos
acho que vou ir corr com o denn,pos
acho que vou malh agr de manh,pos
acho que vou pag academ hoj,pos
acho que vou pra academ agor,pos
acho que vou sair dar uma caminh,pos
acho que vou volt pra academ ee,pos
acho que vou volt pra academ heh,pos
agor me arrum e part academ,pos
continu boku no her academ,pos
de vdd de quem foi a ide de volt a malh to quebr,pos
diet liqu sucks,pos
quer sab vou corr pelo bairr e vai ser agor,pos
vou ir dar uma corridinh no mant porqu final de seman vou desc a bot no jog,pos
aaaaa quer volt a malh,neg
car precis volt urgent pra academ,neg
diz eu que vou faz academ diz eu,neg
de tud q a vid de diet pod me obrig a cois mais dolor e sem sabor continu send o leit desnat ele nunc diz ao q vei,pos
eu jur que vou corr tant tou me a cag,pos
fui corr e volt pra cas,pos
vam corr dnv hj,pos
acho q vou volt p academ precis gast minha energ c algum cois q prest,pos
to doent e vou tom friag,neg
ontem eu fiz quas uma list de gordic pra gleic de tud que eu quer com bad,neg
4 da manh e eu aqu doent sem son,neg
acho que vo fic doent,neg
acord antes do mei dia estou doent,neg
acord doent acend um singar,neg
acord doent anemmm viu,neg
acord doent do nariz,neg
acord doent mas pelo men anim assistatraicionerafly,neg
acord doent pass muito mal a noit,neg
acord muito bem nao um pouc estress,neg
agor a diet vai,neg
agor doim o corp tod aind por cim tinha pes,neg
agor to pur estress,neg
ai odei fic doent aff,neg
bia parec q eh doent,neg
bom dia com mt estress por ter banc hj seg,neg
bom dia com muito estress,neg
bom dia mas que preguic boa,neg
bom dia nem fui dorm aind acho que vou ir corr,neg
bom dia pra quem acord doent,neg
bom dia pra quem pass mal o dia de ontem doent,neg
bom dia pra quem vai trabalh doent pra krl,neg
cad meu neg estress uma hor dess,neg
cag se isto corr bem vou fic mm content,neg
com dem vou explodirprecis emagrec faz diet volt a ser fitness,neg
com rap dem oq ser de mim aind to com fom ser q so gord acho que sim precis perd pes,neg
de diet por acab de vari biscoit cre crack com margarin,neg
doent e com fom,neg
doent e com tesa,neg
doent estou doent estou,neg
dorm cans e acord dispost a corr maraton to tip,neg
e os que eu tenho sao tud sedentari igual a mim,neg
2kg e algum gem que precis engord pra fic no pes ideal to mt fora do pes scr,pos
acord 6 hrs e fui corr na ciclov,pos
acord 7 pra vir pra academ,pos
acord e fic me convenc a levant max vai ser o mesmo infern levant daqu uma hor vam pra academ agor,pos
agor eu vou ser fitness,pos
amanh acord ced ir corr no parqu,pos
amanh acord ced pra corr,pos
boku no pic academ,pos
bom dia pra qm acord essa hr pra malh,pos
bom dia pra quem acord ced pra sair dess zon de sedentar,pos
bom dia pra quem sab qua vai dar uma caminh hoj,pos
caminh,pos
corr,pos
cri um whey de milh parec q o mund fitness se abriu pra mim,pos
daqu a pouc tenho q estar faz diet de nov,pos
dev ter ido malh mas esper anim de ir corr no parqu mais tard com meus pais pelo men,pos
e continu a minha maraton running wild d m,pos
e depois do debat eu vou pra academ,pos
esper que a pap lhe esteja a corr bem,pos
estava pens aqu e dev corr mais,pos
fri dem mas simbor corr,pos
hermos para ir a corr,pos
madrug para corr,pos
madrug para ir a corr,pos
pelo fat de ter ensai feit loc e depois ter ido corr,pos
precis volt a corr para melhor esse felling,pos
quer sab eu vou corr,pos
quer ttl ir corrertrein ao ar livr,pos
soub me bem corr,pos
tem de corr bem estou a trabalh para isso,pos
vou corr na nov amanh ced e deus que me ajud hauahauhau,pos
hj eu acord ced pra me exercit to me sent sup fitness,pos
hoj so quer ter um dia sem estress,neg
hoj tem yog e simul,pos
que sdds de malh a noit,neg
quem precis de academ quando se tem as escad da dhc,pos
vou dorm pq amanh acord ced pra ir na academ,pos
tinha mesmo de fic doent antes de ir para o algarv,neg
to doent de nov deus me salvaaaaa,neg
vey pra que entrar de fer se eu ja fic ness estress tod pqo,neg
vou ir dorm to estress,neg
